Abstracts,Arrays,Random access memory,
Acceleration,Algorithm design and analysis,Arithmetic,Central Processing Unit,Encoding,Field programmable gate arrays,Hardware,Open source software,Prototypes,System-on-a-chip,
Acceleration,Application software,Application specific processors,Cryptography,Design methodology,Embedded system,Hardware,Object oriented modeling,Protection,Software libraries,
Acceleration,Application software,Computer science,Embedded computing,Embedded system,Frequency,Information analysis,Optimizing compilers,Pipeline processing,Program processors,
Added delay,Cost function,Embedded system,Hardware,Hazards,Pipeline processing,Radio frequency,Registers,VLIW,Writing,
Aerospace control,Delay,Electrical equipment industry,Embedded system,Industrial control,Job shop scheduling,Processor scheduling,Production systems,Real time systems,Runtime,
Aerospace electronics,Algorithm design and analysis,Central Processing Unit,Computer peripherals,Computer science,Control systems,Costs,Embedded system,Interference,Real time systems,
Aerospace electronics,Application software,Computer applications,Computer science,Embedded computing,Embedded system,Hardware,Interference,Real time systems,Software safety,
Aerospace electronics,Backplanes,Central Processing Unit,Computer peripherals,Costs,Embedded computing,Embedded system,Interference,Performance analysis,Real time systems,
Aggregates,Batteries,Embedded system,Energy consumption,Handheld computers,Hardware,Logic,Memory architecture,Memory management,Random access memory,
Algorithm design and analysis,Application software,Application specific integrated circuits,Application specific processors,Circuit synthesis,Digital signal processing,Energy consumption,Hardware,High level synthesis,Software systems,
Algorithm design and analysis,Application software,Arithmetic,Bandwidth,Cost function,Data engineering,Discrete cosine transforms,Embedded system,Logic design,Read-write memory,
Algorithm design and analysis,Application software,Automatic control,Automatic logic units,Batteries,Embedded system,Energy consumption,Energy efficiency,Hardware,Program processors,
Algorithm design and analysis,Application software,Computer science,Embedded system,Energy dissipation,Memory management,Permission,Power system management,Runtime,Scanning probe microscopy,
Algorithm design and analysis,Bandwidth,Clocks,Memory management,SDRAM,Time factors,Timing,
Algorithm design and analysis,Cache storage,Costs,Embedded system,Energy consumption,Energy efficiency,Energy storage,Runtime,Scheduling algorithm,System-on-a-chip,
Algorithm design and analysis,Computer aided instruction,Computer applications,Embedded computing,Embedded system,Flow graphs,Heuristic algorithms,Partitioning algorithms,Real time systems,Tree graphs,
Algorithm design and analysis,Computer architecture,Cost function,Design optimization,Embedded system,Energy efficiency,Memory architecture,Partitioning algorithms,Random access memory,System-on-a-chip,
Algorithm design and analysis,Data analysis,Delay effects,Embedded system,Polynomials,Processor scheduling,Real time systems,Scheduling algorithm,Switches,Timing,
Algorithm design and analysis,Design optimization,Embedded system,Energy management,Leakage current,Partitioning algorithms,Pattern matching,Power system management,Scanning probe microscopy,Sleep,
Algorithm design and analysis,Digital signal processing,Embedded system,Energy consumption,Laboratories,Memory architecture,Permission,Potential energy,Processor scheduling,Scheduling algorithm,
Algorithm design and analysis,Dynamic scheduling,Dynamic voltage scaling,Embedded system,Energy consumption,Heuristic algorithms,Real time systems,Scheduling algorithm,Signal processing algorithms,Voltage control,
Algorithms,Assembly,Computer architecture,Embedded systems,Program processors,Registers,Testing,
Analytical models,Application software,Embedded system,Libraries,Memory architecture,Microprocessors,Packaging,Performance analysis,Random access memory,System-on-a-chip,
Analytical models,Benchmark testing,Decoding,Embedded systems,Memory architecture,Space exploration,System-on-a-chip,
Analytical models,Circuit simulation,Design engineering,Embedded system,Information analysis,Medical simulation,Object oriented modeling,Performance analysis,Power system modeling,Systems engineering and theory,
Analytical models,Computational Intelligence Society,Computer architecture,Embedded system,Engines,Hardware,Predictive models,Software performance,Space exploration,Very large scale integration,
Analytical models,Computer architecture,Delay,Design methodology,Embedded system,Hardware,Performance analysis,Pipelines,Proposals,Real time systems,
Analytical models,Embedded software,Embedded system,Equations,Hardware,Memory architecture,Performance analysis,Real time systems,Software performance,Timing,
Application software,Application specific integrated circuits,Batteries,Embedded system,Emulation,Energy consumption,Power engineering and energy,Scanning probe microscopy,Software maintenance,Systems engineering and theory,
Application software,Application specific integrated circuits,Costs,Design methodology,Embedded software,Embedded system,Hardware,Network-on-a-chip,System-on-a-chip,Wires,
Application software,Application specific integrated circuits,Costs,Embedded software,Embedded system,Field programmable gate arrays,Hardware design languages,Open source software,Process design,Software performance,
Application software,Application specific processors,Architecture description languages,Automation,Data mining,Embedded system,Energy consumption,Power generation,Registers,Software tools,
Application software,Application specific processors,Australia,Clocks,Computer science,Costs,Embedded system,Hardware,Productivity,Resource management,
Application software,Application specific processors,Australia,Computer science,Design engineering,Embedded system,Libraries,National electric code,Pattern matching,Space exploration,
