Machine intelligence,0
System performance,0
Printing,0
Programming,12
System-level design,12
Performance evaluation,0
Emulation,0
Abstracts,2
Portable computers,0
Parallel processing,2
Random access memory,0
Multimedia systems,3
Concrete,3
Educational institutions,2
Hardware design languages,12
Digital signal processors,0
Space exploration,8
Mechatronics,0
Aerospace electronics,2
Dynamic scheduling,1
Electronic equipment testing,0
Target tracking,0
Three-term control,0
Vectors,0
Laser sintering,0
Circuits,0
Automatic control,7
Field programmable gate arrays,14
Sufficient conditions,0
Scheduling,0
Hardware,62
Read only memory,0
Corporate acquisitions,0
Automata,5
Time varying systems,0
Prototypes,6
Assembly systems,1
Generators,1
Sockets,0
Stochastic processes,4
Air safety,0
State estimation,0
Computer aided manufacturing,0
Syntactics,0
Manuals,0
Industrial control,3
Registers,0
Repeaters,0
Condition monitoring,0
Weaving,0
Message systems,0
Ports (Computers),4
Radiation detectors,0
XML,3
Communication system security,0
Software engineering,5
Software,4
Contracts,1
Informatics,0
Synchronization,6
Robustness,3
Europe,0
Reluctance generators,0
Cyberspace,0
Biological system modeling,1
Aerospace industry,0
Large-scale systems,0
Focusing,0
Optical design,0
Multicore processing,2
Multimedia databases,0
Signal processing algorithms,3
Frequency modulation,0
Runtime,10
Software performance,2
Feature extraction,0
Electronic design automation and methodology,3
Computer languages,7
Routing,0
Buildings,0
Checkpointing,0
Amorphous materials,0
Linux,1
SDRAM,0
Error correction,1
Analytical models,11
Adaptation models,5
Technological innovation,0
Concurrent computing,7
Debugging,1
Power system modeling,9
Software architecture,0
Linear programming,0
Microelectronics,3
Software tools,4
Time to market,2
Discrete event simulation,6
Intelligent actuators,0
Aircraft,0
Control systems,11
Sun,1
Feedback,1
Dispatching,0
Distributed control,0
Sugar,0
Logic circuits,0
Microwave integrated circuits,1
Computer applications,0
Unmanned aerial vehicles,0
Data analysis,0
Telecommunications,1
Modems,0
Optical propagation,0
Performance loss,0
Wireless LAN,1
Production,3
Computer interfaces,0
Yarn,3
Skeleton,1
Diffserv networks,0
Microprocessors,1
Optimization methods,2
Drives,0
Design methodology,28
Fault tolerance,3
Manufacturing automation,0
Bandwidth,1
Timing,18
Mathematical model,9
Multitasking,0
Network-on-a-chip,1
Communication system control,0
Application software,53
Monitoring,1
Software algorithms,1
Optimization,0
System testing,6
Silicon,0
Software testing,2
Intelligent systems,0
Formal specifications,2
Computer science,10
Robotics and automation,1
Object oriented modeling,11
Computer bugs,0
Real time systems,51
Consumer electronics,2
Telephony,0
CADCAM,0
Systems engineering and theory,2
Data acquisition,1
Telecommunication network management,0
Clocks,8
Graphics processing unit,0
Graphical user interfaces,0
Biomedical computing,0
Power dissipation,3
Cost function,0
Central Processing Unit,1
Program processors,1
Elevators,0
Automobiles,0
Heart beat,0
Real-time systems,5
Transportation,0
Context,1
Distributed information systems,1
Roundoff errors,0
Finite impulse response filter,0
Software design,9
Music,0
Capacitive sensors,0
Token networks,0
Time factors,2
Software radio,0
Very large scale integration,0
Joining processes,2
Switches,2
Iterative algorithms,0
Operating systems,20
Chip scale packaging,0
Upper bound,0
Metamodeling,0
Security,1
Parallel programming,0
Standards,2
Documentation,0
Impedance,0
Predictive models,3
Circuit simulation,2
Paper technology,0
Information technology,5
High level languages,1
Network topology,0
Engines,6
Communication industry,0
Cellular phones,1
Media Access Protocol,0
Software standards,1
Reliability,0
RFID tags,0
Vehicles,1
Marine vehicles,0
Performance gain,0
Reduced order systems,0
Cloud computing,0
Master-slave,1
Satellite navigation systems,0
Software reliability,0
Mobile communication,0
Circuit synthesis,0
Productivity,12
Resource management,3
Handheld computers,0
Automotive engineering,4
Sensors,2
Power engineering computing,0
Decoding,4
Analog computers,0
Job shop scheduling,1
Intellectual property,4
Logic devices,0
Wires,1
Ontologies,0
Mobile handsets,0
Programming environments,0
Diffusion tensor imaging,1
Electronic mail,0
Kernel,18
Frequency,3
Software quality,2
Inverters,0
Memory management,3
Instruments,4
Integrated circuit modeling,2
Safety,1
Performance analysis,8
Valves,0
Explosions,0
Delays,1
Connectors,1
Layout,0
System-on-a-chip,11
Process control,0
Open systems,0
Power system management,9
Code standards,1
Research and development,3
Electronic switching systems,1
Humans,1
Distributed power generation,0
Software debugging,1
Schedules,0
Flow graphs,0
Computer simulation,1
Software safety,1
Application specific integrated circuits,0
Synchronous generators,1
Algorithm design and analysis,10
Sensor systems,1
Radio control,0
Computer aided software engineering,1
Automatic testing,2
Digital audio players,0
Differential equations,0
Personal digital assistants,0
Electrical equipment industry,3
Energy management,8
